sheet_id,device,operation
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Микшерный пульт YAMAHA CL1,"Очистка поверхности пульта при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции. Выполнить калибровку фейдеров (процедура описана в руководстве пользователя, стр. 51). Проверить наличие обновлений ПО (процедура описана в руководстве пользователя, стр. 7). (Цитата из руководства пользователя стр. 5: - «В данном устройстве нет компонентов, которые должен обслуживать пользователь. Не следует открывать устройство или пытаться разбирать его, а также каким-либо образом модифицировать его внутренние компоненты. При возникновении неисправности немедленно прекратите эксплуатацию устройства и обратитесь за помощью к квалифицированным специалистам центра технического обслуживания корпорации Yamaha»)."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Устройство ввода вывода YAMAHA RIO 3224-D,"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции. Проверить наличие обновлений ПО (процедура описана в руководстве пользователя, стр. 7). (Цитата из руководства пользователя стр. 5: - «В данном устройстве нет компонентов, которые должен обслуживать пользователь. Не следует открывать устройство или пытаться разбирать его, а также каким-либо образом модифицировать его внутренние компоненты. При возникновении неисправности немедленно прекратите эксплуатацию устройства и обратитесь за помощью к квалифицированным специалистам центра технического обслуживания корпорации Yamaha»)."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Рекордер TASCAM SS-CDR250N,"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Усилитель FONESTAR SR-1602,"Очистка поверхности устройства при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих и сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,ИБП Smart-UPS 1500VA LCD RM 2U 230V APC,"Очистка поверхности ИБП от пылевых отложений при помощи пылесоса и мягкой щетки. Проверка качества подключения питающих кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Акустический кабинет L-Acoustics X15 HiQ (5 шт.),"Очистка поверхности акустического кабинета от пылевых отложений при помощи пылесоса и мягкой щетки. Проверка качества подключения сигнальных кабелей, визуальная проверка состояния изоляции. На акустических кабинетах, закрепленных на ферме при помощи лиры и струбцин, следует проверить затяжку 1/4 оборотных креплений, проверить затяжку болтов и гаек элементов крепления, проверить состояние страховочного троса и затяжки механизма его соединения."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Сабвуфер L-Acoustics SB 18M-2 (2 шт.),"Очистка поверхности акустического кабинета от пылевых отложений при помощи пылесоса и мягкой щетки. Проверка качества подключения сигнальных кабелей, визуальная проверка состояния изоляции."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Акустический кабинет L-Acoustics LA4X (4 шт.),"Очистка поверхности усилителя от пылевых отложений при помощи пылесоса и мягкой щетки. Проверка качества подключения сигнальных и силовых кабелей, визуальная проверка состояния изоляции. Проверка затяжки элементов крепления усилителя в рэковой стойке при помощи отвертки. Проверка наличия обновления ПО."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Акустический кабинет L-Acoustics X12 (4 шт.),"Очистка поверхности акустического кабинета от пылевых отложений при помощи пылесоса и мягкой щетки. Проверка качества подключения сигнальных кабелей, визуальная проверка состояния изоляции. На акустических кабинетах, закрепленных на ферме при помощи лиры и струбцин, следует проверить затяжку 1/4 оборотных креплений, проверить затяжку болтов и гаек элементов крепления, проверить состояние страховочного троса и затяжки механизма его соединения."
КЛ_ежемесячного_обслуживания_ТО_1_«Аудио_Оборудования»_павильона,Ноутбук Aspire VN7-572G-55J8 ACER,Очистка корпуса и клавиатуры от пылевых отложений при помощи мягкой ткани. Проверка наличия обновления ПО.
